"Source:","C:\Users\banan\Desktop\KiCad\kicad\router\router.kicad_sch"
"Date:","1/19/2024 6:10:14 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field4","Field5","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","1uF","Device:C","","~","","","","","","","",""
"2","4","D1, D2, D3, D4","TPD4E05U06DQAR","TPD4E05U06DQAR:TPD4E05U06DQAR","DQA(R-PUSON-N10)","http://www.ti.com/lit/gpn/tpd4e05u06","","","","","Texas Instruments","TPD4E05U06DQAR","595-TPD4E05U06DQAR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPD4E05U06DQAR?qs=%2FCrDlo5IrVPi4woOvWz0qA%3D%3D"
"3","1","IC1","LAN7800_Y9X","LAN7800_Y9X:LAN7800_Y9X","QFN50P700X700X100-49N-D","","","","","1","Microchip","LAN7800/Y9X","579-LAN7800/Y9X","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/LAN7800-Y9X?qs=IP4CA2YhK0DiSn15uFE%252Bdg%3D%3D"
"4","1","J1","UART interface","Connector_Generic:Conn_01x04","","~","DNP","","","","","","",""
"5","1","J2","TMJG26945AENL","TMJG26945AENL:TMJG26945AENL","TMJG26945AENL","https://www.mouser.in/datasheet/2/398/TMJG26945AENL-3073721.pdf","","","","13.64","Taoglas","TMJG26945AENL","",""
"6","1","Module1","ComputeModule4-CM4","CM4IO:ComputeModule4-CM4","CM4IO:Raspberry-Pi-4-Compute-Module","","","Hirose","2x DF40C-100DS-0.4V","","","","",""
"7","1","R1","0","Device:R","","~","","","","","","","",""
"8","2","R2, R3","4.7k","Device:R","","~","DNP","","","","","","",""
"9","4","R4, R8, R9, R10","680","Device:R","","~","","","","","","","",""
"10","1","R5","2K","Device:R","","~","","","","","","","",""
"11","1","R6","10K","Device:R","","~","DNP","","","","","","",""
"12","1","R7","10K","Device:R","","~","","","","","","","",""
"13","13","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13","TestPoint","Connector:TestPoint","","~","","","","","","","",""
